"","NAME","REGION","DISTRICT","review.point","score"
"1","Aberfeldy","HIGH","MIDLAND","wyne",0
"2","Aberlour","HIGH","SPEY","wyne",0
"3","Ardberg","ISLAY","SOUTH","wyne",0
"4","Ardmore","HIGH","SPEY","wyne",0
"5","Auchentoshan","LOW","WEST","wyne",0
"6","Aultmore","HIGH","SPEY","wyne",0
"7","Balblair","HIGH","NORTH","wyne",1
"8","Balmenach","HIGH","SPEY","wyne",0
"9","Balvenie","HIGH","SPEY","wyne",0
"10","Banff","HIGH","SPEY","wyne",0
"11","Ben Nevis","HIGH","WEST","wyne",0
"12","Benriach","HIGH","SPEY","wyne",0
"13","Benrinnes","HIGH","SPEY","wyne",0
"14","Benromach","HIGH","SPEY","wyne",0
"15","Bladnoch","LOW","BORDERS","wyne",0
"16","Blair Athol","HIGH","MIDLAND","wyne",0
"17","Bowmore","ISLAY","LOCH","wyne",0
"18","Brackla","HIGH","SPEY","wyne",0
"19","Bruichladdich","ISLAY","LOCH","wyne",0
"20","Bunnahabhain","ISLAY","NORTH","wyne",0
"21","Caol Ila","ISLAY","NORTH","wyne",1
"22","Caperdonich","HIGH","SPEY","wyne",0
"23","Cardhu","HIGH","SPEY","wyne",0
"24","Clynelish","HIGH","NORTH","wyne",0
"25","Coleburn","HIGH","SPEY","wyne",0
"26","Convalmore","HIGH","SPEY","wyne",0
"27","Cragganmore","HIGH","SPEY","wyne",0
"28","Craigellachie","HIGH","SPEY","wyne",0
"29","Dailuaine","HIGH","SPEY","wyne",0
"30","Dallas Dhu","HIGH","SPEY","wyne",0
"31","Dalmore","HIGH","NORTH","wyne",0
"32","Dalwhinnie","HIGH","SPEY","wyne",0
"33","Deanston","HIGH","MIDLAND","wyne",0
"34","Dufftown","HIGH","SPEY","wyne",0
"35","Edradour","HIGH","MIDLAND","wyne",0
"36","Fettercairn","HIGH","EAST","wyne",0
"37","Glen  Albyn","HIGH","SPEY","wyne",0
"38","Glenallachie","HIGH","SPEY","wyne",0
"39","Glenburgie","HIGH","SPEY","wyne",0
"40","Glencadam","HIGH","EAST","wyne",0
"41","Glen Deveron","HIGH","SPEY","wyne",0
"42","Glendronach","HIGH","SPEY","wyne",0
"43","Glendullan","HIGH","SPEY","wyne",0
"44","Glen Elgin","HIGH","SPEY","wyne",0
"45","Glenesk","HIGH","EAST","wyne",0
"46","Glenfarclas","HIGH","SPEY","wyne",0
"47","Glenfiddich","HIGH","SPEY","wyne",1
"48","Glen Garioch","HIGH","EAST","wyne",0
"49","Glenglassaugh","HIGH","SPEY","wyne",0
"50","Glengoyne","HIGH","WEST","wyne",0
"51","Glen Grant","HIGH","SPEY","wyne",0
"52","Glen Keith","HIGH","SPEY","wyne",0
"53","Glenkinchie","LOW","EAST","wyne",0
"54","Glenlivet","HIGH","SPEY","wyne",0
"55","Glenlochy","HIGH","WEST","wyne",0
"56","Glenlossie","HIGH","SPEY","wyne",0
"57","Glen Mhor","HIGH","SPEY","wyne",0
"58","Glenmorangie","HIGH","NORTH","wyne",0
"59","Glen Moray","HIGH","SPEY","wyne",0
"60","Glen Ordie","HIGH","NORTH","wyne",0
"61","Glenrothes","HIGH","SPEY","wyne",0
"62","Glen Scotia","LOW","CAMPBEL","wyne",0
"63","Glen Spey","HIGH","SPEY","wyne",0
"64","Glentauchers","HIGH","SPEY","wyne",1
"65","Glenturret","HIGH","MIDLAND","wyne",1
"66","Glenugie","HIGH","EAST","wyne",0
"67","Glenury Royal","HIGH","EAST","wyne",0
"68","Highland Park","HIGH","ORKNEY","wyne",0
"69","Imperial","HIGH","SPEY","wyne",0
"70","Inchgower","HIGH","SPEY","wyne",0
"71","Inchmurrin","HIGH","WEST","wyne",0
"72","Inverleven","LOW","WEST","wyne",0
"73","Jura","HIGH","JURA","wyne",0
"74","Kinclaith","LOW","WEST","wyne",0
"75","Knockando","HIGH","SPEY","wyne",0
"76","Knockdhu","HIGH","SPEY","wyne",0
"77","Ladyburn","LOW","WEST","wyne",1
"78","Lagavulin","ISLAY","SOUTH","wyne",0
"79","Laphroaig","ISLAY","SOUTH","wyne",0
"80","Linkwood","HIGH","SPEY","wyne",0
"81","Littlemill","LOW","NORTHWEST","wyne",1
"82","Lochnagar","HIGH","EAST","wyne",0
"83","Lochside","HIGH","EAST","wyne",0
"84","Longmorn","HIGH","SPEY","wyne",0
"85","Macallan","HIGH","SPEY","wyne",0
"86","Millburn","HIGH","SPEY","wyne",0
"87","Miltonduff","HIGH","SPEY","wyne",0
"88","Mortlach","HIGH","SPEY","wyne",0
"89","North Port","HIGH","EAST","wyne",0
"90","Oban","HIGH","WEST","wyne",0
"91","Port Ellen","ISLAY","SOUTH","wyne",0
"92","Pulteney","HIGH","NORTH","wyne",0
"93","Rosebank","LOW","CENTRAL","wyne",0
"94","Saint Magdalene","LOW","CENTRAL","wyne",0
"95","Scapa","HIGH","ORKNEY","wyne",0
"96","Singleton","HIGH","SPEY","wyne",0
"97","Speyburn","HIGH","SPEY","wyne",0
"98","Springbank","LOW","CAMPBEL","wyne",0
"99","Springbank-Longrow","LOW","CAMPBEL","wyne",0
"100","Strathisla","HIGH","SPEY","wyne",0
"101","Talisker","HIGH","SKYE","wyne",0
"102","Tamdhu","HIGH","SPEY","wyne",0
"103","Tamnavulin","HIGH","SPEY","wyne",1
"104","Teaninich","HIGH","NORTH","wyne",0
"105","Tobermory","HIGH","MULL","wyne",0
"106","Tomatin","HIGH","SPEY","wyne",0
"107","Tomintoul","HIGH","SPEY","wyne",0
"108","Tormore","HIGH","SPEY","wyne",0
"109","Tullibardine","HIGH","MIDLAND","wyne",0
"110","","","","wyne",NA
"111","","","","wyne",8
"112","Aberfeldy","HIGH","MIDLAND","yellow",1
"113","Aberlour","HIGH","SPEY","yellow",0
"114","Ardberg","ISLAY","SOUTH","yellow",0
"115","Ardmore","HIGH","SPEY","yellow",0
"116","Auchentoshan","LOW","WEST","yellow",0
"117","Aultmore","HIGH","SPEY","yellow",0
"118","Balblair","HIGH","NORTH","yellow",0
"119","Balmenach","HIGH","SPEY","yellow",0
"120","Balvenie","HIGH","SPEY","yellow",0
"121","Banff","HIGH","SPEY","yellow",0
"122","Ben Nevis","HIGH","WEST","yellow",0
"123","Benriach","HIGH","SPEY","yellow",0
"124","Benrinnes","HIGH","SPEY","yellow",0
"125","Benromach","HIGH","SPEY","yellow",0
"126","Bladnoch","LOW","BORDERS","yellow",1
"127","Blair Athol","HIGH","MIDLAND","yellow",0
"128","Bowmore","ISLAY","LOCH","yellow",0
"129","Brackla","HIGH","SPEY","yellow",0
"130","Bruichladdich","ISLAY","LOCH","yellow",0
"131","Bunnahabhain","ISLAY","NORTH","yellow",0
"132","Caol Ila","ISLAY","NORTH","yellow",0
"133","Caperdonich","HIGH","SPEY","yellow",0
"134","Cardhu","HIGH","SPEY","yellow",0
"135","Clynelish","HIGH","NORTH","yellow",0
"136","Coleburn","HIGH","SPEY","yellow",0
"137","Convalmore","HIGH","SPEY","yellow",0
"138","Cragganmore","HIGH","SPEY","yellow",0
"139","Craigellachie","HIGH","SPEY","yellow",0
"140","Dailuaine","HIGH","SPEY","yellow",0
"141","Dallas Dhu","HIGH","SPEY","yellow",0
"142","Dalmore","HIGH","NORTH","yellow",0
"143","Dalwhinnie","HIGH","SPEY","yellow",0
"144","Deanston","HIGH","MIDLAND","yellow",0
"145","Dufftown","HIGH","SPEY","yellow",0
"146","Edradour","HIGH","MIDLAND","yellow",0
"147","Fettercairn","HIGH","EAST","yellow",0
"148","Glen  Albyn","HIGH","SPEY","yellow",0
"149","Glenallachie","HIGH","SPEY","yellow",0
"150","Glenburgie","HIGH","SPEY","yellow",0
"151","Glencadam","HIGH","EAST","yellow",0
"152","Glen Deveron","HIGH","SPEY","yellow",0
"153","Glendronach","HIGH","SPEY","yellow",0
"154","Glendullan","HIGH","SPEY","yellow",0
"155","Glen Elgin","HIGH","SPEY","yellow",0
"156","Glenesk","HIGH","EAST","yellow",0
"157","Glenfarclas","HIGH","SPEY","yellow",0
"158","Glenfiddich","HIGH","SPEY","yellow",0
"159","Glen Garioch","HIGH","EAST","yellow",0
"160","Glenglassaugh","HIGH","SPEY","yellow",0
"161","Glengoyne","HIGH","WEST","yellow",0
"162","Glen Grant","HIGH","SPEY","yellow",0
"163","Glen Keith","HIGH","SPEY","yellow",0
"164","Glenkinchie","LOW","EAST","yellow",0
"165","Glenlivet","HIGH","SPEY","yellow",0
"166","Glenlochy","HIGH","WEST","yellow",0
"167","Glenlossie","HIGH","SPEY","yellow",0
"168","Glen Mhor","HIGH","SPEY","yellow",0
